name,college,programmes,n_programmes,scopus_id,scopus_url,google_scholar_id
Pretty Jane,Pharmacy,none,0,,,
Reem Abdalla Ali,Pharmacy,none,0,,,
Haya Yasser AlDakheel,Pharmacy,none,0,,,
Vinnah Jenn Ibarrola,Pharmacy,none,0,,,
Verna Princess Jimenez,Pharmacy,none,0,,,
Shambhavi Joshi,Pharmacy,none,0,,,
"Emad Mohammad Alghazo, Ph.D",Education/Humanities,Bachelor of Education in Special Education; Master in Gifted and Talented Education,2,14324208400,https://www.scopus.com/authid/detail.uri?authorId=14324208400,k800oB0AAAAJ
"Hanene Lahiani, Ph.D",Education/Humanities,Bachelor of Arts in English Language and Translation; Bachelor of Education - English Language Teacher Education,2,57211925114,https://www.scopus.com/authid/detail.uri?authorId=57211925114,7F-nimgAAAAJ
"Mona Kamal Ibrahim, Ph.D",Education/Humanities,Bachelor of Arts in English Language and Translation; Postgraduate Professional Diploma in Teaching,2,57193867771,https://www.scopus.com/authid/detail.uri?authorId=57193867771,RNFCJFcAAAAJ
"Suad Abdel Karim Alwaely, Ph.D",Education/Humanities,Postgraduate Professional Diploma in Teaching; Master of Education in Arabic Language Curricula and Instruction; Master of Education in Islamic Education Curricula and Instruction; Doctor of Philosophy in Education - Arabic Language Curricula and Teaching Methods,4,57214223477,https://www.scopus.com/authid/detail.uri?authorId=57214223477,4bWq7Y8AAAAJ
"Khawlah Mitib Al-Takhayneh, Ph.D",Education/Humanities,Bachelor of Arts in Applied Sociology; Master of Arts in Applied Sociology,2,57205494668,https://www.scopus.com/authid/detail.uri?authorId=57205494668,hwmWR8gAAAAJ
"Khaled Khamis Nser, Ph.D",Education/Humanities,Bachelor of Arts in Applied Sociology; Master of Arts in Applied Sociology,2,57211635227,https://www.scopus.com/authid/detail.uri?authorId=57211635227,aEgvb_sAAAAJ
"Samir Jabra Dukmak, Ph.D",Education/Humanities,Bachelor of Arts in Applied Psychology; Bachelor of Education in Special Education; Master in Gifted and Talented Education,3,24400893500,https://www.scopus.com/authid/detail.uri?authorId=24400893500,N48HmXUAAAAJ
"Samer Adnan Abdel-Hadi, Ph.D",Education/Humanities,Bachelor of Arts in Applied Psychology; Postgraduate Professional Diploma in Teaching; Master in Gifted and Talented Education,3,57200498605,https://www.scopus.com/authid/detail.uri?authorId=57200498605,fS_uDpgAAAAJ
"Mohammad Husien Faqeeh, Ph.D",Education/Humanities,Bachelor in Arabic Language and Literature; Bachelor in Islamic Studies,2,,,-uuy_uUAAAAJ
"Mohammad Issa Al-Hourani, Ph.D",Education/Humanities,Bachelor in Arabic Language and Literature; Bachelor in Islamic Studies,2,57215611725,https://www.scopus.com/authid/detail.uri?authorId=57215611725,iEqDDBUAAAAJ
"Eman Ali Zaitoun, Ph.D",Education/Humanities,Postgraduate Professional Diploma in Teaching; Postgraduate Professional Diploma in Early Childhood Education,2,57205345987,https://www.scopus.com/authid/detail.uri?authorId=57205345987,HautztsAAAAJ
"Suzan Al Abidi, Ph.D",Education/Humanities,Postgraduate Professional Diploma in Teaching,1,57847529400,https://www.scopus.com/authid/detail.uri?authorId=57847529400,TMG25RkAAAAJ
"Abdel Ghani Amar Remache, Ph.D",Education/Humanities,Bachelor of Arts in English Language and Translation; Bachelor of Education - English Language Teacher Education,2,56662200500,https://www.scopus.com/authid/detail.uri?authorId=56662200500,Jrn_hK0AAAAJ
"Mohammad Salman Alkhazaleh, Ph.D",Education/Humanities,Postgraduate Professional Diploma in Teaching; Postgraduate Professional Diploma in Early Childhood Education,2,57222655314,https://www.scopus.com/authid/detail.uri?authorId=57222655314,h2gGx08AAAAJ
"Mohamed Elsayed Elzeiny, Ph.D",Education/Humanities,Postgraduate Professional Diploma in Teaching; Master of Education in Arabic Language Curricula and Instruction; Master of Education in Islamic Education Curricula and Instruction; Doctor of Philosophy in Education - Arabic Language Curricula and Teaching Methods,4,58545542900,https://www.scopus.com/authid/detail.uri?authorId=58545542900,w-59gWQAAAAJ
"Ashraf Alazab, PhD",Education/Humanities,Bachelor of Arts in Applied Sociology; Master of Arts in Applied Sociology,2,57223987827,https://www.scopus.com/authid/detail.uri?authorId=57223987827,AkKvkZgAAAAJ
"Salwa Abdallah Al-Majali, Ph.D",Education/Humanities,Bachelor of Arts in Applied Psychology; Bachelor of Education in Special Education; Master in Gifted and Talented Education,3,57203149400,https://www.scopus.com/authid/detail.uri?authorId=57203149400,5fu_3gkAAAAJ
"Omran Ahmad Musleh, Ph.D",Education/Humanities,Postgraduate Professional Diploma in Teaching; Master of Education in Arabic Language Curricula and Instruction; Master of Education in Islamic Education Curricula and Instruction; Doctor of Philosophy in Education - Arabic Language Curricula and Teaching Methods,4,57218879552,https://www.scopus.com/authid/detail.uri?authorId=57218879552,8mo_El4AAAAJ
"Hussein Khazer Saleh Almajali, Ph.D",Education/Humanities,Bachelor of Arts in Applied Psychology,1,57222368483,https://www.scopus.com/authid/detail.uri?authorId=57222368483,9JHxS6UAAAAJ
"Imad Ibraheem KH.Mostafa,Ph.D",Education/Humanities,Bachelor in Islamic Studies; Master of Education in Islamic Education Curricula and Instruction,2,57225930384,https://www.scopus.com/authid/detail.uri?authorId=57225930384,zHUJKD0AAAAJ
"Hatem Ahmed Suleiman Al-qudah, Ph.D",Education/Humanities,Postgraduate Professional Diploma in Teaching; Master of Education in Arabic Language Curricula and Instruction; Master of Education in Islamic Education Curricula and Instruction; Doctor of Philosophy in Education - Arabic Language Curricula and Teaching Methods,4,57221477618,https://www.scopus.com/authid/detail.uri?authorId=57221477618,hAhH6CwAAAAJ
"Enas Said Abulibdeh, Ph.D",Education/Humanities,Postgraduate Professional Diploma in Teaching,1,54395007700,https://www.scopus.com/authid/detail.uri?authorId=54395007700,wcxqxtgAAAAJ
"Wafa' Abdemahdi Hazaymeh, Ph.D",Education/Humanities,Bachelor of Arts in English Language and Translation; Postgraduate Professional Diploma in Teaching; Postgraduate Professional Diploma in Early Childhood Education,3,57211599555,https://www.scopus.com/authid/detail.uri?authorId=57211599555,qX3pTRgAAAAJ
"Razan Numan AlKhatib, Ph.D",Education/Humanities,Bachelor of Education in Special Education; Master in Gifted and Talented Education,2,57213257593,https://www.scopus.com/authid/detail.uri?authorId=57213257593,Ag1tcVkAAAAJ
"Rakan Alhrahsheh, Ph.D",Education/Humanities,Bachelor of Arts in Applied Sociology; Master of Arts in Applied Sociology,2,57201617442,https://www.scopus.com/authid/detail.uri?authorId=57201617442,
"Nahla Alshalabi, Ph.D",Education/Humanities,Bachelor in Arabic Language and Literature,1,,,JH7asoIAAAAJ
"Hussein Al Sarhan,Ph.D",Education/Humanities,Bachelor of Arts in Applied Sociology; Master of Arts in Applied Sociology,2,57210948993,https://www.scopus.com/authid/detail.uri?authorId=57210948993,
"Abdoulaye Kaba, Ph.D",Education/Humanities,Postgraduate Professional Diploma in Teaching,1,36951393200,https://www.scopus.com/authid/detail.uri?authorId=36951393200,WEN9a-QAAAAJ
"Salem Khalil Al Aqtash, Ph.D",Education/Humanities,Bachelor in Arabic Language and Literature,1,57191485851,https://www.scopus.com/authid/detail.uri?authorId=57191485851,
"Shirin Saleh Al-Odwan, Ph.D",Education/Humanities,Bachelor of Arts in Applied Sociology; Postgraduate Professional Diploma in Teaching,2,57215874181,https://www.scopus.com/authid/detail.uri?authorId=57215874181,ShuZaAsAAAAJ
"Dina Naser Tahat, Ph.D",Education/Humanities,Bachelor of Arts in Applied Sociology; Master of Arts in Applied Sociology,2,57210446636,https://www.scopus.com/authid/detail.uri?authorId=57210446636,sy6px5wAA
